question_text,options,solution_text,question_no,exercise,path,chapter,subject,grade,book
z is multiplied by –3 and the result is subtracted from 13.,NA,"Given: z is multiplied by –3 = (-3) × z = -3z
Now, result is subtracted from 13 = 13 – (-3z) = 13 + 3z

Hence, required equation is 13 + 3z",Q. 68,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
p is divided by 11 and the result is added to 10.,NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18444/1530525983639333.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18444/153052598435886.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18444/1530525985068916.png""/>
Given:
Now, result is added to 10


Hence, required equation is",Q. 69,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
x times of 3 is added to the smallest natural number.,NA,"Given: x times of 3 = 3 × x = 3x
Smallest natural number = 1

Thus, resulting expression = 3x + 1",Q. 70,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
6 times q is subtracted from the smallest two digit number.,NA,"Given: 6 times q = 6 × q = 6q
Smallest two digit number = 10

Thus, resulting expression = 10 – 6q",Q. 71,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
Write two equations for which 2 is the solution.,NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18444/1530525985790760.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18444/1530525986504694.png""/>
Let the two number be x and y, which has solution 2 in equation
1. For getting first equation, the number x is multiplied by 2, then the number is 2x

After that, 3 is subtracted from it which results into 1

Hence, 2x – 3 = 1

2x = 3+1

2x = 4


x = 2

2. For getting second equation, the number y is multiplied by 3, then the number is 3y

After that, it will be added to 4 which results into 10

Hence, 3y + 4 = 10

3y = 10-4

3y = 6


y = 2

Hence, required equation are 2x - 3 = 1 and 3y + 4 = 10",Q. 72,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
Write an equation for which 0 is a solution.,NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18444/1530525987225275.png""/>
Let the one number be x, which has solution 0 in equation
For getting equation, the number x is multiplied by 2, then the number is 2x

After that, it will be added to 3 which results into 3

Hence, 2x + 3 = 3

2x = 3-3

2x = 0


x = 0

Hence, required equation is 2x + 3 = 3",Q. 73,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
Write an equation whose solution is not a whole number.,NA,"We know that, whole number are 0, 1, 2,…
Now, let one number be x whole solution is not a whole number

For getting equation, the number x will be added to 1 which results into 0. Then,

x + 1 = 0

x = 0-1 = -1

Where -1 is not a whole number

So, required equation is x + 1 = 0",Q. 74,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
A pencil costs Rs p and a pen costs Rs 5p.,NA,"Given: A pencil costs Rs p
a pen costs Rs 5p

Cost of pen = Rs 5 × Rs 1p

Cost of pen = Rs 5 × Rs p

Cost of pen = Rs 5 × Cost of pencil

Thus, Cost of pen is 5 times the cost of pencil.",Q. 75,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
Leela contributed Rs y towards the Prime Minister’s Relief Fund. Leela is now left with Rs (y + 10000).,NA,After contributing Leela is left with 10000 more than the contributed amount.,Q. 76,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
Kartik is n years old. His father is 7n years old.,NA,Kartik’s father is 7 times older than Kartik.,Q. 77,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
The maximum temperature on a day in Delhi was p°C. The minimum temperature was (p – 10)°C.,NA,"The difference between maximum and minimum temperature on a day in Delhi is 10° C.

On a day in Delhi the maximum temperature is greater by 10° C than the minimum.",Q. 78,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
John planted ‘t’ plants last year. His friend Jay planted 2t + 10 plants that year.,NA,Last year Jay planted 10 trees more than twice the number of trees planted by John.,Q. 79,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
"Change the statements, converting expressions into statements in ordinary language:

Sharad used to take p cups tea a day. After having some health problem, he takes p – 5 cups of tea a day.",NA,After having some health problem Sharad takes 5 tea cups less than what he used to take before per day.,Q. 80,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
The number of students dropping out of school last year was m. Number of students dropping out of school this year is m – 30.,NA,The number of students dropping out of school this year has reduced by 30 than last year.,Q. 81,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
Price of petrol was Rs p per litre last month. Price of petrol now is Rs (p – 5) per litre.,NA,The price of petrol is reduced by 5 Rs per litre from last month.,Q. 82,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
"Khader’s monthly salary was Rs P in the year 2005. His salary in

2006 was Rs (P + 1000).",NA,In 2006 Khader’s monthly salary was increased by 1000 Rs than his salary in 2005.,Q. 83,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
The number of girls enrolled in a school last year was g. The number of girls enrolled this year in the school is 3g – 10.,NA,The number of girls enrolled in a school this year is 10 less than thrice the number of girls enrolled last year.,Q. 84,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
"Translate each of the following statements into an equation, using x as the variable:

(a) 13 subtracted from twice a number gives 3.

(b) One fifth of a number is 5 less than that number.

(c) Two-third of number is 12.

(d) 9 added to twice a number gives 13.

(e) 1 subtracted from one-third of a number gives 1.",NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18444/1530525987946693.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18444/1530525988719649.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18444/1530525989452489.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18444/1530525990173280.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18444/1530525990885558.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18444/1530525991559837.png""/>
<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18444/1530525992284691.png""/>
(a) Let the variable number be ‘x’

Twice of that number = 2x

13 subtracted from twice of that number = 2x – 13

Equation: 2x – 13 = 3

(b) Let the variable number be ‘x’

One fifth of the number = x

5 less than that number = x – 5

Equation: x = x – 5

(c) Let the variable number be ‘x’

Two-third of number = x

Equation: x = 12

(d) Let the variable number be ‘x’

Twice of number = 2x

9 added to twice a number = 2x + 9

Equation: 2x + 9 = 13

(e) Let the variable number be ‘x’

One-third of number = x

1 subtracted from one-third of number = x – 1

Equation: x – 1 = 1",Q. 85,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
"Translate each of the following statements into an equation:

","A. The perimeter (p) of an equilateral triangle is three times of its side(a).

B. The diameter (d) of a circle is twice its radius (r).

C. The selling price (s) of an item is equal to the sum of the cost price (c) of an item and the profit (p) earned.

D. Amount (a) is equal to the sum of principal (p) and interest (i).","(a) three times of side (a) = 3a
Equation: p = 3a

(b) twice of radius (r) = 2r

Equation: d = 2r

(c) Equation: s = c + p

(d) Equation: a = p + i",Q. 86,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18444/1530525993019286.png""/>
Let Kanika’s present age be x years. Complete the following table, showing ages of her relatives:",NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18444/1530525993696832.png""/>
(i) Her brother is 2 years younger.

which means smaller than Kanika by 2 years hence we should subtract 2 from Kanika’s age to get her brother’s age brother’s age = (x – 2) years

(ii) Her father’s age exceeds her age by 35 years. Which means father’s age is 35 years more than Kanika’s age hence we should add 35 to Kanika’s age to get father’s age father’s age = (x + 35) years

(iii) Mother’s age is 3 years less than that of her father. Which means mother is smaller than father by 3 years hence we should subtract 3 from father’s age calculated above mother’s age = (x + 35) – 3 = x + 35 – 3 = (x + 32) years

(iv) Her grand father’s age is 8 times of her age. Grandfather’s age = 8 × x = 8x

Hence the table",Q. 87,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18444/153052599443828.png""/>
If m is a whole number less than 5, complete the table and by inspection of the table, find the solution of the equation 2m – 5 = – 1:",NA,"<img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18444/1530525995251669.png""/>
m is a whole number less than 5 Whole numbers less than 5 are 0, 1, 2, 3 and 4 hence m can take values 0, 1, 2, 3 and 4

When m = 0:

2m – 5 = 2 × 0 – 5 = -5

When m = 1:

2m – 5 = 2 × 1 – 5 = 2 – 5 = -3

When m = 2:

2m – 5 = 2 × 2 – 5 = 4 – 5 = -1

When m = 3:

2m – 5 = 2 × 3 – 5 = 6 – 5 = 1

When m = 4:

2m – 5 = 2 × 4 – 5 = 8 – 5 = 3

The table becomes


By looking at table the equation 2m – 5 = – 1 holds true when m = 2 hence solution of equation 2m – 5 = – 1 is m = 2",Q. 88,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
"A class with p students has planned a picnic. Rs 50 per student is collected, out of which Rs 1800 is paid in advance for transport. How much money is left with them to spend on other items?",NA,"number of students = p

amount collected per student = 50 Rs

total amount collected = amount collected per student × amount collected per student

total amount collected = 50 × p = 50p

amount paid for transport = 1800 Rs

to find the money left we must subtract the amount paid from total amount collected

money left = total amount collected - amount paid for transport

Therefore, money left with them to spend on other items = 50p – 1800",Q. 89,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
"In a village, there are 8 water tanks to collect rain water. On a particular day, x litres of rain water is collected per tank. If 100 litres of water was already there in one of the tanks, what is the total amount of water in the tanks on that day?",NA,"Number of water tanks = 8

Water collected by 1 tank = x litres

Water collected by 8 tanks = 8 × Water collected by 1 tank

= 8 × x

= 8x litres

On a day 100 litres of water was already there in one of tank which means we should add 100 to total water collected by 8 tanks

total amount of water = Water collected by 8 tanks + 100

Therefore, total amount of water in the tanks on that day is 8x + 100 litres",Q. 90,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
What is the area of a square whose side is m cm?,NA,"side of square = m cm
Area of square = side × side

area of square = m × m

Therefore, area of a square whose side is m cm is m × m",Q. 91,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
"Perimeter of a triangle is found by using the formula P = a + b + c, where a, b and c are the sides of the triangle. Write the rule that is expressed by this formula in words.",NA,the perimeter of a triangle is sum of length all the three sides of that triangle,Q. 92,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
"Perimeter of a rectangle is found by using the formula P = 2 ( l + w), where l and w are respectively the length and breadth of the rectangle. Write the rule that is expressed by this formula in words.",NA,the perimeter of rectangle is twice the sum of its length and breadth,Q. 93,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
"On my last birthday, I weighed 40kg. If I put on m kg of weight after a year, what is my present weight?",NA,"weight on last birthday = 40 kg
Increase in weight after a year = m kg

Present weight = weight last year + increase in weight

= (40 + m) kg

Therefore, my present weight is (40 + m) kg",Q. 94,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
"Length and breadth of a bulletin board are r cm and t cm, respectively.

(i) What will be the length (in cm) of the aluminium strip required to frame the board, if 10cm extra strip is required to fix it properly.

(ii) If x nails are used to repair one board, how many nails will be required to repair 15 such boards?

(iii) If 500sqcm extra cloth per board is required to cover the edges, what will be the total area of the cloth required to cover 8 such boards?

(iv) What will be the expenditure for making 23 boards, if the carpenter charges Rs x per board.",NA,"(i) We have to frame the perimeter of the board hence length of aluminium strip required to frame the board will be same as perimeter of board Perimeter of board = 2 × (r + t)

But 10 cm extra strip is required to fix it properly hence we should add 10 to perimeter of board

Therefore, aluminium strip required to frame the board is 2 × (r + t) + 10 cm

(ii) Number of nails required to repair 1 board = x

Number of nails to repair 15 boards = 15 × Number of nails required to repair 1 board

Number of nails to repair 15 boards = 15 × x = 15x

(iii) Area of one board = r × t sq. cm

500 sq. cm extra cloth is required per board so we should add 500 in area of one board to get the total area of cloth required for one board

Area of cloth required for one board = Area of one board + 500 sq. cm

Therefore, Area of cloth required for one board = (r × t) + 500 sq. cm

Area of cloth required for 8 boards = 8 × Area of cloth required for one board

Area of cloth required for 8 boards = 8 × [(r × t) + 500]

= 8(r × t) + 4000 sq. cm

Therefore, Area of cloth required for 8 boards = 8(r × t) + 4000 sq. cm

(iv) Expenditure of making 1 board = x Rs

Expenditure of making 23 boards = 23 × Expenditure of making 1 board = 23 × x = 23x

Therefore, Expenditure of making 23 boards = 23x",Q. 95,exercise,https://school.gradeup.co/ex-7-q1-if-each-match-box-contains-50-matchsticks-the-number-i-1nkl26,7. Algebra,maths,Grade 6,NCERT Exemplar Class 6 Maths
